,bedrooms,price,bathrooms,MLS_Number,sq_ft,address
136,3 Beds, $449900,2 Baths,"MLS® ML81913639
","1,503 ft","120 Dixon LNDG 27, MILPITAS, CA 95035Active"
137,2 Beds, $699000,2 Baths,"MLS® ML81917171
","1,040 ft","3695 Stevenson BLVD B336, FREMONT, CA 94538Under Contract"
138,3 Beds, $797800,2 Baths,"MLS® ML81919838
","1,082 ft","42111 Osgood RD 504, FREMONT, CA 94539Active"
139,2 Beds, $663800,2 Baths,"MLS® ML81919829
","1,046 ft","42111 Osgood Road 422, FREMONT, CA 94539Active"
140,01 Bed, $52580,1 Bath,"MLS® ML81919827
",735 ft,"42111 Osgood Rd 419, FREMONT, CA 94539Active"
141,3 Beds, $864800,3 Baths,"MLS® ML81917971
","1,366 ft","42111 Osgood RD 216, FREMONT, CA 94539Active"
142,01 Bed, $54880,1 Bath,"MLS® ML81917996
",865 ft,"42111 Osgood RD 223, FREMONT, CA 94539Active"
143,2 Beds, $643800,2 Baths,"MLS® ML81918459
",906 ft,"42111 Osgood RD 214, FREMONT, CA 94539Pending"
144,3 Beds, $782800,2 Baths,"MLS® ML81918467
","1,082 ft","42111 Osgood RD 404, FREMONT, CA 94539Pending"
145,3 Beds, $783800,2 Baths,"MLS® ML81917966
","1,118 ft","42111 Osgood RD 315, FREMONT, CA 94539Active"
146,01 Bed, $47800,1 Bath,"MLS® ML81919630
",693 ft,"39109 Guardino DR 237, FREMONT, CA 94538Active"
147,2 Beds, $486492,2.5 Baths,"MLS® ML81917829
","1,246 ft","34165 Via Lucca, FREMONT, CA 94555Pending"
148,2 Beds, $699000,2 Baths,"MLS® ML81917614
","1,077 ft","39029 Guardino DR 313, FREMONT, CA 94538Pending"
149,2 Beds, $949999,2.5 Baths,"MLS® ML81919624
","1,513 ft","37816 Bright CMN, FREMONT, CA 94536Active"
150,3 Beds, $950000,2 Baths,"MLS® ML81919258
","1,112 ft","3749 Jamestown RD, FREMONT, CA 94538Active"
151,2 Beds, $625000,2 Baths,"MLS® ML81916195
",892 ft,"34665 Tabu TER 63, FREMONT, CA 94555Pending"
152,3 Beds, $818800,1.5 Baths,"MLS® ML81918265
","1,166 ft","34613 Greenstone CMN, FREMONT, CA 94555Under Contract"
153,3 Beds, $950000,1.5 Baths,"MLS® ML81913844
","1,242 ft","42831 Via Puebla, FREMONT, CA 94539Pending"
154,3 Beds, $999800,2 Baths,"MLS® ML81918469
","1,602 ft","42111 Osgood Rd 428, FREMONT, CA 94539Active"
155,2 Beds, $739800,2 Baths,"MLS® ML81918461
","1,046 ft","42111 Osgood RD 232, FREMONT, CA 94539Active"
156,2 Beds, $648800,2 Baths,"MLS® ML81918456
",877 ft,"42111 Osgood RD 506, FREMONT, CA 94539Active"
157,2 Beds, $653800,2 Baths,"MLS® ML81917970
",906 ft,"42111 Osgood RD 414, FREMONT, CA 94539Pending"
158,2 Beds, $627800,2 Baths,"MLS® ML81917990
",901 ft,"42111 Osgood RD 229, FREMONT, CA 94539Pending"
159,2 Beds, $680800,2 Baths,"MLS® ML81917993
","1,046 ft","42111 Osgood RD 431, FREMONT, CA 94539Pending"
160,2 Beds, $434432,2 Baths,"MLS® ML81918216
","1,303 ft","106 Boston Fern CMN 249, FREMONT, CA 94539Active"
161,01 Bed, $60780,1 Bath,"MLS® ML81917994
",934 ft,"42111 Osgood RD 525, FREMONT, CA 94539Active"
162,2 Beds, $745800,2 Baths,"MLS® ML81917986
","1,148 ft","42111 Osgood RD 227, FREMONT, CA 94539Active"
163,01 Bed, $59880,1 Bath,"MLS® ML81917962
","1,017 ft","42111 Osgood RD 221, FREMONT, CA 94539Active"
164,2 Beds, $948000,2 Baths,"MLS® ML81917653 
","1,301 ft","45128 Warm Springs BLVD 450, FREMONT, CA 94539Active"
165,2 Beds, $899000,3 Baths,"MLS® ML81916289
","1,578 ft","1032 Avila Terraza 7Q, FREMONT, CA 94538Pending"
166,3 Beds, $833000,2 Baths,"MLS® ML81901804
","1,389 ft","4037 Ralston CMN 73, FREMONT, CA 94538Pending"
167,2 Beds, $585000,1 Bath,"MLS® ML81916519
",964 ft,"4547 Glenn ST, FREMONT, CA 94536Active"
168,2 Beds, $689000,2 Baths,"MLS® ML81915917
",926 ft,"370 Stacey CMN, FREMONT, CA 94539Active"
169,01 Bed, $42000,1 Bath,"MLS® ML81913731
",760 ft,"47112 Warm Springs BLVD 239, FREMONT, CA 94539Active"
170,01 Bed, $25900,2 Baths,"MLS® ML81917276
","1,440 ft","424 Honolulu CIR 424, UNION CITY, CA 94587Pending"
171,2 Beds, $527000,1 Bath,"MLS® ML81914424
",903 ft,"34819 Starling DR 2, UNION CITY, CA 94587Pending"
172,3 Beds, $699000,2 Baths,"MLS® ML81918475
","1,255 ft","4318 Agena CIR, UNION CITY, CA 94587Under Contract"
173,4 Beds, $770000,1.5 Baths,"MLS® ML81909751
","1,342 ft","4158 AQUARIUS CIR, UNION CITY, CA 94587Pending"
174,2 Beds, $635000,1 Bath,"MLS® ML81916193 
",856 ft,"4127 Lunar WAY, UNION CITY, CA 94587Active"
175,4 Beds, $949000,3.5 Baths,"MLS® ML81919146
","2,119 ft","25266 Villager LN, HAYWARD, CA 94544Pending"
176,01 Bed, $39995,1 Bath,"MLS® ML81919934
",598 ft,"325 Valle Vista AVE 102, HAYWARD, CA 94544Active"
177,3 Beds, $835000,2 Baths,"MLS® ML81918531
","1,192 ft","25757 Evergreen DR, HAYWARD, CA 94544Under Contract"
178,3 Beds, $849000,2 Baths,"MLS® ML81915401
","1,320 ft","32023 Kennet ST, HAYWARD, CA 94544Pending"
179,2 Beds, $299500,2 Baths,"MLS® ML81918657
","1,728 ft","29164 Colorado RD, HAYWARD, CA 94544Active"
180,4 Beds, $998000,2.5 Baths,"MLS® ML81919240
","1,866 ft","28860 Rochelle AVE, HAYWARD, CA 94544Active"
181,2 Beds, $770000,2.5 Baths,"MLS® ML81918717
","1,491 ft","111 Vivid LN, HAYWARD, CA 94544Pending"
182,3 Beds, $750000,2 Baths,"MLS® ML81915201
","1,475 ft","24513 Diamond Ridge DR, HAYWARD, CA 94544Under Contract"
183,3 Beds, $899000,3 Baths,"MLS® ML81917595
","1,875 ft","24496 Margaret DR, HAYWARD, CA 94542Under Contract"
184,3 Beds, $624999,2 Baths,"MLS® ML81913324
","1,045 ft","29573 Highgate DR 224, HAYWARD, CA 94544Active"
185,81 Bed, $37114,1 Bath,"MLS® ML81918799
",429 ft,"545 Delve CT, HAYWARD, CA 94544Active"
186,3 Beds, $799000,2 Baths,"MLS® ML81918668
","1,200 ft","861 Marvin WAY, HAYWARD, CA 94541Active"
187,3 Beds, $679900,1 Bath,"MLS® ML81917858
",936 ft,"199 Hermes CT, HAYWARD, CA 94544Pending"
188,3 Beds, $675000,2 Baths,"MLS® ML81916320
","1,070 ft","22265 Pearce ST, HAYWARD, CA 94541Pending"
189,3 Beds, $799888,2 Baths,"MLS® ML81916747
","1,180 ft","607 Eastwood WAY, HAYWARD, CA 94544Pending"
190,3 Beds, $680000,1 Bath,"MLS® ML81916911
",924 ft,"124 Fagundes ST, HAYWARD, CA 94544Pending"
191,2 Beds, $319000,2 Baths,"MLS® ML81918096
","1,340 ft","1200 W Wintion AVE 138, HAYWARD, CA 94545Active"
192,3 Beds, $349000,2 Baths,"MLS® ML81918040
","1,586 ft","1200 W Winton AVE 227, HAYWARD, CA 94545Active"
193,2 Beds, $793120,2 Baths,"MLS® ML81917589
","1,286 ft","709 Delve CT, HAYWARD, CA 94544Active"
194,01 Bed, $54995,1 Bath,"MLS® ML81917567
",384 ft,"22823 High ST, HAYWARD, CA 94541Active"
195,3 Beds, $748000,2 Baths,"MLS® ML81912818
","1,264 ft","27734 Tampa, HAYWARD, CA 94544Pending"
196,2 Beds, $480000,1 Bath,"MLS® ML81916526
",944 ft,"1315 A ST 204, HAYWARD, CA 94541Pending"
197,3 Beds, $849000,2 Baths,"MLS® ML81915282
","1,803 ft","1210 D ST, HAYWARD, CA 94541Under Contract"
198,3 Beds, $798888,2.5 Baths,"MLS® ML81916883
","1,610 ft","544 Marlin CT, HAYWARD, CA 94544Active"
199,81 Bed, $37114,1 Bath,"MLS® ML81898970
",429 ft,"380 Trace LN, HAYWARD, CA 94544Pending"
200,3 Beds, $788800,1 Bath,"MLS® ML81916514
","1,421 ft","22833 Myrtle ST, HAYWARD, CA 94541Active"
201,3 Beds, $889000,2 Baths,"MLS® ML81916107
","1,119 ft","2008 Duval LN, HAYWARD, CA 94545Active"
202,3 Beds, $889000,2.5 Baths,"MLS® ML81908932
","1,948 ft","429 Industrial PKWY, HAYWARD, CA 94544Active"
203,2 Beds, $775000,2 Baths,"MLS® ML81903123 
","1,286 ft","695 Delve CT, HAYWARD, CA 94544Pending"
204,2 Beds, $755000,2 Baths,"MLS® ML81914856
","1,501 ft","633 Delve CT, HAYWARD, CA 94544Active"
205,2 Beds, $750000,2 Baths,"MLS® ML81912545
","1,501 ft","603 Delve CT, HAYWARD, CA 94544Pending"
206,2 Beds, $199000,2 Baths,"MLS® ML81914723
","1,032 ft","28863 La Corona ST 0, HAYWARD, CA 94544Active"
207,2 Beds, $375000,2 Baths,"MLS® ML81914191
","1,399 ft","29264 Harpoon WAY 388, HAYWARD, CA 94544Active"
208,01 Bed, $49000,1 Bath,"MLS® ML81886506
",429 ft,"607 Delve CT, HAYWARD, CA 94544Pending"
